name,z,ra,dec,blazar_class,eRO
J001115+144601,4.96,00:11:15.24,+14:46:01.8,y,
J012202+030951,4.0,01:22:01.90,+03:10:02.41,y,
J012714-445445,4.96,01:27:14.32,-44:54:45.17,y,y
J013127-032100,5.18,01:31:27.34,-03:21:00.2,y,
J014132-542749,5.0,01:41:32.4,-54:27:49.9,y,y
J020228-170827,5.57,02:02:28.53,-17:08:27.75,c,y
J020916-562650,5.606,02:09:16.93,-56:26:50.44,y,y
J021043-001818,4.77,02:10:43.16,-00:18:18.4,y,
J025758+433837,4.07,02:57:59.08,+43:38:37.71,y,
J030437+004653,4.305,03:04:37.21,+00:46:53.5,c,
J030947+271757,6.1,03:09:47.49,+27:17:57.31,y,
J032214-184117,6.09,03:22:14.55,-18:41:17.48,y,
J032444-291821,4.63,03:24:44.29,-29:18:21.22,y,y
J041009-013919,6.995,04:10:09.05,-01:39:19.88,y,
J052506-334305,4.383,05:25:06.18,-33:43:05.5,y,y
J081333+350810,4.922,08:13:33.32,+35:08:10.8,y,y
J083548+182519,4.41,08:35:49.42,+18:25:20.09,y,y
J083946+511202,4.4,08:39:46.22,+51:12:02.8,y,
J085111+142337,4.307,08:51:11.59,+14:23:37.7,y,y
J090132+161506,5.63,09:01:32.65,+16:15:06.84,y,
J090630+693030,5.47,09:06:30.75,+69:30:30.80,y,
J091824+063653,4.22,09:18:24.38,+06:36:53.3,y,y
J094004+052630,4.5,09:40:04.8,+05:26:30.99,y,y
J100645+462717,4.444,10:06:45.58,+46:27:17.2,c,
J101155-013052,5.58,10:11:55.54,-01:30:52.69,c,
J101335+281119,4.75,10:13:35.44,+28:11:19.24,y,
J102107+220904,4.26,10:21:07.57,+22:09:21.45,y,y
J102623+254259,5.25,10:26:23.62,+25:42:59.44,y,y
J102838-084438,4.276,10:28:38.80,-08:44:38.6,y,y
J103758+403328,6.07,10:37:58.18,+40:33:28.74,c,
J113350+481431,6.23,11:33:50.42,+48:14:31.20,c,
J114657+403708,5.005,11:46:57.79,+40:37:08.66,y,
J115503-310758,4.3,11:55:03.16,-31:07:58.7,y,y
J123142+381658,4.137,12:31:42.17,+38:16:58.9,y,
J123503-000331,4.723,12:35:03.03,-00:03:31.7,y,
J124413+862554,5.32,12:44:13.902,+86:25:54.07,c,
J125359-405930,4.464,12:53:59.53,-40:59:30.7,y,y
J130738+150752,4.111,13:07:38.83,+15:07:52.0,c,
J130940+573309,4.28,13:09:40.70,+57:33:09.9,y,
J131121+222738,4.612,13:11:21.32,+22:27:38.6,c,
J132206-132354,4.71,13:22:06.46,-13:23:54.71,y,y
J132512+112329,4.42,13:25:12.49,+11:23:29.8,y,y
J134811+193520,4.4,13:48:11.25,+19:35:23.64,y,
J141212+062408,4.47,14:12:09.97,+06:24:06.88,y,y
J142048+120545,4.02,14:20:48.01,+12:05:45.9,y,
J143023+420450,4.72,14:30:23.73,+42:04:36.51,y,
J143413+162852,4.195,14:34:13.05,+16:28:52.7,c,
J145459+110927,4.93,14:54:59.30,+11:09:27.89,y,
J151002+570243,4.31,15:10:02.92,+57:02:43.4,y,
J152028+183556,4.123,15:20:28.14,+18:35:56.1,c,
J153533+025419,4.39,15:35:33.88,+02:54:23.38,y,
J162956+095959,5.0,16:29:57.28,+10:00:23.49,y,
J164856+460341,5.36,16:48:54.53,+46:03:27.3,y,
J165913+210115,4.784,16:59:13.23,+21:01:15.8,y,
J170245+130104,5.466,17:02:45.31,+13:01:02.28,y,
J171103+383016,4.0,17:11:05.52,+38:30:04.30,y,
J171521+214547,4.01,17:15:21.26,+21:45:31.65,y,
J172007+602824,4.424,17:20:07.19,+60:28:24.0,c,
J172026+310431,4.67,17:20:26.68,+31:04:31.6,y,
J195135+013442,4.11,19:51:36.02,+01:34:42.7,y,
J213412-041909,4.334,21:34:12.02,-04:19:09.7,y,
J222032+002537,4.2,22:20:32.49,+00:25:37.5,y,
J231449+020146,4.11,23:14:48.71,+02:01:51.08,y,
J235758+140205,4.35,23:57:58.55,+14:02:01.83,y,
